description,category
mobile postpaid bill Jio got it during sale,utilities
ott subscrption rental bought for home use,entertainment
Electricity Board - Electricity Board electricity bill - Rs 1200,utilities
"bread, butter, cereal from Local Kirana ordered online",groceries
bhai petrol bharwaya - freelance payment client xyz,salary
ACME Corp Salary - freelance payment client xyz,salary
monthly groceries from Nature's Basket bought because needed,groceries
pharmacy,health
loan EMI deduction - Rs 249,bills
bought T-shirt from Lifestyle bought because needed,shopping
mobile postpaid bill Water Supply,utilities
IndiGo ride to airport,travel
game purchase on Steam - Rs 199,entertainment
monthly groceries from Reliance Fresh,groceries
lab test at MedPlus,health
membership renewal Netflix paid for,subscription
ordered power bank from Reliance Digital,electronics
college canteen maggi - kitchen utensils from Local Home Store bought for home use,home
Bikeman Garage - petrol full tank ordered online,auto
perfume Local Pharmacy bought for home use,personal_care
Reliance Digital,electronics
perfume Sephora - Rs 499,personal_care
Play Store movie ticket paid for,entertainment
Local Home Store - new bedsheet purchase from Local Home Store - Rs 1200,home
NEFT received,finance
invoice paid - Upwork,salary
PVR movie ticket,entertainment
bus ticket to city ordered online,travel
Ikea - floor cleaner and mop bought for home use,home
salary credited - ACME Corp purchased from nearby store,salary
Amazon Prime annual plan,subscription
indigo - flight tickt to delhi,travel
Spencer's,groceries
maintenance charges for flat ordered online,bills
IndiGo ride to airport,travel
bank transfer to friend bought because needed,finance
doctor consult - Rs 1200,health
pharmacy - antibiotics,health
loan EMI deduction,bills
Amazon purchase - bluetooth headphone purchased from nearby store,electronics
NEFT received,finance
Sephora - anti ageing serum purchase,personal_care
PhonePe - NEFT received,finance
loan EMI deduction,bills
exam form fee,education
flight ticket to delhi,travel
ordered power bank from Amazon,electronics
renewed subscription - Amazon Prime,subscription
internet recharge via Electricity Board,utilities
Steam movie ticket,entertainment
upi payment ordered online,finance
Reliance Digital - tempered glass screen protector paid for,electronics
salary credited - ACME Corp got it during sale,salary
"Reliance Fresh - milk, eggs, vegetables got it during sale",groceries
PVR - ott subscription rental,entertainment
dinner at Local Dhabha with friends,food
MakeMyTrip - flight ticket to delhi,travel
new backpack from Local Mall,shopping
Swiggy - dinner at Swiggy with friends,food
Car Service Center - Rs 199,auto
dinner at Local Dhabha with friends,food
new backpack from Myntra,shopping
car wash and cleaning ordered online,auto
bike service at HP Petrolpump,auto
"Reliance Fresh - milk, eggs, vegetables paid for",groceries
car wash and cleaning,auto
internet recharge via BSNL,utilities
got cashback from paytm - Lifestyle online - summer dress ordered online,shopping
Amazon Prime annual plan,subscription
credit card repayment,bills
NEFT received paid for,finance
anti ageing serum purchase,personal_care
Home Centre - floor cleaner and mop - Rs 299,home
Water Supply electricity bill,utilities
face wash and moisturizer from Beauty Store bought because needed,personal_care
doctor consult - fever,health
bought flowers from Godrej Gift,gifts
Lifestyle - sneakers purchase purchased from nearby store,shopping
fruits and veg purchase at Grofers,groceries
bus tkt to city purchased from nearby store,travel
Coursera - python course paid for - Rs 249,education
Car Service Center - car wash and cleaning,auto
bank transfer to friend,finance
bike service at Bikeman Garage,auto
emi deducted - fruits and veg purchase at Spencer's,groceries
"Nature's Basket - milk, eggs, vegetables bought because needed",groceries
fruits and veg purchase at DMart,groceries
Spotify - membership renewal Spotify - Rs 50,subscription
face wash and moisturizer from Sephora,personal_care
breakfast - paratha and chai,food
Home Centre - home decor items,home
H&M online - summer dress,shopping
Bank Transfer - bank transfer to friend,finance
Coursera - python course,education
bought flowers from Flower Store,gifts
College Fee,education
late night snack from Pizza Hut - Rs 100,food
Samsung Shop,electronics
recharge jio - Zomato,food
Local Mall online - summer dress purchased from nearby store,shopping
bought T-shirt from Lifestyle purchased from nearby store,shopping
water bill payment ordered online,utilities
Cafe Coffee Day,food
KFC order,food
Practo - paracetamol and vitamins got it during sale,health
doctor consult - fever ordered online,health
membership renewal YouTube Premium - Rs 1200,subscription
Cleartrip ride to airport ordered online,travel
Stationery Shop,education
recharge jio - YouTube Premium annual plan,subscription
anti ageing serum purchase,personal_care
Spencer's - Rs 1200,groceries
Local Home Store - floor cleaner and mop bought for home use,home
maintenance charges for flat,bills
Local Mall online,shopping
HP Petrolpump - petrol full tank paid for,auto
game purchase on Play Store,entertainment
bank transfer to friend paid for,finance
College Fee - exam form fee,education
invoice paid - Upwork,salary
fruits and veg purchase at Reliance Fresh,groceries
pharmacy - antibiotics,health
exam form fee,education
train booking via IRCTC,travel
late night snack from McDonald's bought because needed,food
BSNL electricity bill purchased from nearby store,utilities
game purchase on PVR purchased from nearby store,entertainment
fruits and veg purchase at Nature's Basket,groceries
new bedsheet purchase from Local Home Store paid for,home
internet recharge via BSNL - Rs 150,utilities
monthly groceries from Local Kirana,groceries
YouTube Premium monthly subscription,subscription
Ola ride to airport bought because needed,travel
face wash and moisturizer from Sephora,personal_care
Flower Store - gift box chocolates,gifts
Amazon purchase - bluetooth headphone - Rs 150,electronics
Godrej Gift - anniversary gift shopping,gifts
home decor items,home
late fee payment bought for home use,bills
NEFT received,finance
Myntra online - summer dress ordered online,shopping
"Nature's Basket - bread, butter, cereal from Nature's Basket",groceries
pharmacy - antibiotics bought because needed,health
bought flowers from Flower Store ordered online - Rs 150,gifts
water bill payment,utilities
security deposit for rent,rent
new backpack from Lifestyle,shopping
kitchen utensils from Local Home Store,home
game purchase on BookMyShow - Rs 150,entertainment
Netflix annual plan,subscription
breakfast - paratha and chai ordered online - Rs 999,food
apartment rent monthly ordered online,rent
ott subscriptn rental bought for home use,entertainment
engine oil change at Car Service Center paid for,auto
invoice paid - Upwork,salary
anti ageing serum purchase,personal_care
Steam - game purchase on Steam,entertainment
doctor consult - fever bought because needed,health
anti ageing serum purchase purchased from nearby store,personal_care
maintenance charges for flat,bills
TataCliq - USB-C cable bought for home use,electronics
Amazon Prime - membership renewal Amazon Prime,subscription
bread,groceries
gift box chocolates,gifts
Home Centre - floor cleaner and mop bought for home use,home
Local Mall - sneakers purchase,shopping
bought flowers from Godrej Gift,gifts
birthday gift for friend got it during sale,gifts
Netflix - membership renewal Netflix,subscription
bus ticket to city,travel
face wash and moisturizer from Sephora - Rs 1200,personal_care
Myntra online - summer dress bought for home use,shopping
gave tip to bhaiya - Flipkart - tempered glass screen protector bought for home use,electronics
"Local Kirana - milk, eggs, vegetables",groceries
Sephora - perfume Sephora,personal_care
Amazon Prime monthly subscription,subscription
Uber - Uber ride to airport,travel
train booking via IRCTC - Rs 199,travel
game purchase on Play Store ordered online,entertainment
gave tip to bhaiya - Shell Fuel - petrol full tank paid for,auto
Food Stall order - burger and fries bought because needed,food
Nykaa - sunscreen spf 50,personal_care
Bank Transfer - bank transfer to friend,finance
McDonald's order - burger and fries,food
college canteen maggi - College Fee - python course bought because needed,education
ordered power bank from Amazon - Rs 199,electronics
Netflix annual plan,subscription
invoice paid - Upwork ordered online,salary
college fee payment,education
bank transfer to friend,finance
Coursera - python course,education
birthday gift for friend purchased from nearby store,gifts
bread,groceries
Play Store - ott subscription rental,entertainment
Electricity Board electricity bill,utilities
Credit Card Payment - maintenance charges for flat,bills
wallet topup NEFT ordered online,finance
college fee payment,education
exam form fee got it during sale,education
dinner at Local Dhabha with friends bought because needed,food
freelance payment client xyz purchased from nearby store,salary
stationery purchase at Udemy,education
salary credited,salary
stationery purchase at Stationery Shop bought for home use,education
college canteen maggi - Car Service Center - bike service at Car Service Center,auto
Godrej Gift - anniversary gift shopping - Rs 100,gifts
Samsung Shop,electronics
late night snack from McDonald's bought because needed - Rs 499,food
anniversary gift shopping,gifts
perfume Local Pharmacy,personal_care
bike service at Car Service Center,auto
security deposit for rent,rent
internet recharge via BSNL purchased from nearby store,utilities
Nykaa,personal_care
college fee payment ordered online,education
new backpack from Myntra paid for,shopping
internet recharge via Electricity Board got it during sale,utilities
paid bhaiya for delivery - engine oil change at HP Petrolpump,auto
bike service at HP Petrolpump,auto
NEFT received,finance
maintenance charges for flat bought because needed,bills
Car Service Center - engine oil change at Car Service Center,auto
stationery purchase at College Fee,education
